,شهر,التاريخ,كود العميل,مدى الالتزام الفرع بالاجراءات الاحترازية,مدي رضاء العميل عن نظافة المكان,مدي رضاء العميل عن معاملة العاملين بالفرع,مدي رضاء العميل عن اسعار المنتجات داخل الفرع,مدي رضاء العميل عن تنوع المنتجات,نوع المكالمة
217,مايو,2023-05-02,602976,5,5,5,5,5,شكر
218,مايو,2023-05-02,608772,5,5,5,5,5,شكر
219,مايو,2023-05-02,507610,5,5,5,5,5,شكر
220,مايو,2023-05-02,837337,5,5,5,5,5,شكر
221,مايو,2023-05-02,525672,5,5,5,5,5,شكر
222,مايو,2023-05-02,603980,5,5,5,4,5,شكوي
223,مايو,2023-05-02,609477,5,5,5,4,5,شكر
224,مايو,2023-05-02,620171,5,5,5,5,5,اقتراح 
225,مايو,2023-05-02,838030,5,5,5,5,5,شكر
226,مايو,2023-05-02,514784,5,5,5,5,5,شكوي
227,مايو,2023-05-02,515083,5,5,5,5,5,شكر
228,مايو,2023-05-02,834851,5,5,5,5,5,شكر
229,مايو,2023-05-02,633052,5,5,5,5,5,شكر
230,مايو,2023-05-02,524578,5,5,5,5,5,شكر
231,مايو,2023-05-02,602766,5,5,5,5,5,شكر
232,مايو,2023-05-02,612220,5,5,5,5,5,شكر
233,مايو,2023-05-02,508052,5,5,5,5,5,اقتراح 
234,مايو,2023-05-02,508563,5,5,5,5,5,شكر
235,مايو,2023-05-03,526700,5,5,5,5,5,شكر
236,مايو,2023-05-03,521018,5,5,3,5,5,شكوي
237,مايو,2023-05-03,628305,5,5,5,3,5,شكوي
238,مايو,2023-05-03,601626,5,5,5,5,5,شكر
239,مايو,2023-05-03,602441,5,5,5,5,5,شكر
240,مايو,2023-05-03,836606,5,5,5,5,5,شكر
241,مايو,2023-05-03,628569,5,5,5,5,5,شكر
242,مايو,2023-05-03,613858,5,5,5,5,5,شكر
243,مايو,2023-05-03,608264,5,5,5,5,5,شكر
244,مايو,2023-05-03,521196,5,5,5,5,5,شكر
245,مايو,2023-05-03,626694,5,5,5,5,5,شكر
246,مايو,2023-05-03,520422,5,5,5,5,5,شكر
247,مايو,2023-05-03,525621,5,5,5,5,5,شكر
248,مايو,2023-05-03,626195,5,5,5,5,5,شكر
249,مايو,2023-05-03,836355,5,5,5,5,5,شكر
250,مايو,2023-05-04,620300,5,5,5,5,5,شكر
251,مايو,2023-05-04,508910,5,5,5,5,5,شكر
252,مايو,2023-05-04,629267,5,5,5,5,5,شكر
253,مايو,2023-05-04,522517,5,5,5,5,5,شكر
254,مايو,2023-05-04,110927,5,5,5,5,5,شكر
255,مايو,2023-05-04,517667,5,5,2,5,5,شكوي
256,مايو,2023-05-04,515171,5,5,5,5,5,شكر
257,مايو,2023-05-04,837100,5,5,5,5,5,شكوي
258,مايو,2023-05-04,633734,5,5,5,5,5,شكر
259,مايو,2023-05-04,635044,5,5,5,5,5,شكر
260,مايو,2023-05-04,622830,5,5,5,5,5,شكر
261,مايو,2023-05-04,838302,5,5,5,5,5,شكر
262,مايو,2023-05-04,496341,5,5,5,5,5,شكر
263,مايو,2023-05-04,510191,5,5,5,5,5,شكر
264,مايو,2023-05-04,623071,5,5,5,5,5,شكر
265,مايو,2023-05-04,616268,5,5,5,5,5,شكر
266,مايو,2023-05-04,511155,5,5,5,5,5,شكر
267,مايو,2023-05-04,511511,5,5,5,5,5,شكر
268,مايو,2023-05-04,608130,5,5,5,5,5,اقتراح 
269,مايو,2023-05-04,608462,5,5,5,5,5,شكر
270,مايو,2023-05-05,503401,5,5,5,5,5,شكوي
271,مايو,2023-05-05,629750,5,5,5,5,5,شكر
272,مايو,2023-05-05,507069,5,5,5,5,5,شكر
273,مايو,2023-05-05,629972,5,5,5,5,5,شكوي
274,مايو,2023-05-05,665163,5,5,5,5,5,شكر
275,مايو,2023-05-05,519712,5,5,5,5,5,شكر
276,مايو,2023-05-05,618679,5,5,5,5,5,شكر
277,مايو,2023-05-05,513561,5,5,5,5,5,شكر
278,مايو,2023-05-05,836783,5,5,5,5,5,شكر
279,مايو,2023-05-05,838830,5,5,5,5,5,شكر
280,مايو,2023-05-05,837138,5,5,5,5,5,شكر
281,مايو,2023-05-05,110982,5,5,5,5,5,شكر
282,مايو,2023-05-05,622031,5,5,5,5,5,شكر
283,مايو,2023-05-07,837656,5,5,5,5,5,شكر
284,مايو,2023-05-07,507079,5,5,5,5,5,شكر
285,مايو,2023-05-07,602424,5,5,5,5,5,شكر
286,مايو,2023-05-07,605561,5,5,5,5,5,شكر
287,مايو,2023-05-07,611993,5,5,5,5,5,شكر
288,مايو,2023-05-07,601321,5,5,5,5,5,شكر
289,مايو,2023-05-07,628433,5,5,5,5,5,شكر
290,مايو,2023-05-09,629622,5,5,5,5,5,شكر
291,مايو,2023-05-09,838416,5,5,5,5,5,شكر
292,مايو,2023-05-09,528465,5,5,5,5,5,شكر
293,مايو,2023-05-09,507897,5,5,5,5,5,شكر
294,مايو,2023-05-09,606452,5,5,5,5,5,شكر
295,مايو,2023-05-09,507765,5,5,5,5,5,شكر
296,مايو,2023-05-09,634596,5,5,5,5,5,شكر
297,مايو,2023-05-09,507661,5,5,5,5,5,شكر
298,مايو,2023-05-09,609482,5,5,5,5,5,شكر
299,مايو,2023-05-09,2158550,5,5,5,5,5,شكر
300,مايو,2023-05-10,511669,1,5,1,5,5,شكوي
301,مايو,2023-05-10,2158673,5,5,5,5,5,شكر
302,مايو,2023-05-10,632247,5,5,5,5,3,شكر
303,مايو,2023-05-10,626382,5,5,5,5,5,شكر
304,مايو,2023-05-10,520592,5,5,5,5,5,شكر
305,مايو,2023-05-10,624947,5,5,5,5,5,شكر
306,مايو,2023-05-10,2158720,5,5,5,5,5,شكر
307,مايو,2023-05-10,514227,5,5,5,5,5,شكر
308,مايو,2023-05-10,601237,5,5,5,5,5,شكر
309,مايو,2023-05-10,624792,5,5,5,5,5,شكر
310,مايو,2023-05-12,618870,5,5,5,5,5,شكر
311,مايو,2023-05-12,2158739,5,5,5,5,5,شكر
312,مايو,2023-05-12,629724,5,5,5,5,5,شكر
313,مايو,2023-05-12,517993,5,5,5,5,5,شكر
314,مايو,2023-05-12,610982,5,5,5,5,5,شكر
315,مايو,2023-05-12,624679,5,5,5,5,5,شكر
316,مايو,2023-05-12,607955,5,5,5,5,5,شكر
